Player,Team,POS,AVG,OBP,SLG,OPS,GP,AB,R,H,2B,3b,HR,RBI,HP,BB,SO,SB,CS,1B,HP_BB
Rachel Becker,Purdue,,0.479,0.539,0.683,1.222,44,142,40,68,18,1,3,14,1,20,18,1,1,49,21
Lexie Blair,Michigan,,0.406,0.456,0.632,1.088,46,155,42,63,15,1,6,25,3,12,7,12,1,47,15
Lou Allan,Michigan,,0.383,0.44,0.681,1.121,45,141,21,54,9,0,11,45,3,13,14,0,0,45,16
Skyler Shellmyer,Northwestern,,0.36,0.392,0.387,0.779,47,150,31,54,0,2,0,8,3,5,20,14,1,52,8
Mariah Rodriguez,Ohio State,,0.358,0.377,0.5,0.877,43,134,22,48,6,2,3,11,0,4,0,0,0,40,4
Taylor Okada,Maryland,,0.338,0.407,0.408,0.815,44,130,9,44,5,2,0,8,1,14,0,0,0,37,15
Rachel Lewis,Northwestern,,0.336,0.492,0.606,1.098,47,137,39,46,8,4,7,27,10,32,29,30,2,34,42
Bella Norton,Indiana,,0.333,0.404,0.519,0.923,44,129,11,43,10,1,4,24,3,13,16,2,0,32,16
Gabbi Jenkins,Indiana,,0.331,0.389,0.545,0.934,44,145,31,48,18,2,3,24,4,11,16,24,8,28,15
Avrey Steiner,Illinois,,0.329,0.35,0.381,0.731,44,155,26,51,4,2,0,14,0,5,0,0,0,45,5
Jordyn Rudd,Northwestern,,0.329,0.392,0.471,0.863,47,155,16,51,11,1,3,29,10,6,10,0,0,39,16
Kailee Powell,Illinois,,0.328,0.409,0.55,0.959,44,131,29,43,10,2,5,28,8,10,0,0,0,31,18
Tristen Edwards,Nebraska,,0.326,0.583,0.651,1.234,40,86,29,28,7,0,7,17,17,39,16,8,0,21,56
Taylor Bump,Michigan,,0.325,0.418,0.675,1.093,45,126,21,41,6,1,12,31,3,17,23,0,0,34,20
Fiona Girardot,Wisconsin,,0.324,0.462,0.533,0.995,38,105,20,34,12,2,2,16,5,22,0,0,0,20,27
Jaeda McFarland,Maryland,,0.324,0.353,0.479,0.832,44,142,24,46,5,4,3,19,5,2,0,0,0,37,7
Denali Loecker,Iowa,,0.322,0.399,0.504,0.903,43,121,13,39,10,0,4,28,3,13,0,0,0,29,16
MaKenna Partain,Minnesota,,0.322,0.443,0.566,1.009,44,143,37,46,5,3,8,21,7,25,0,0,0,38,32
Natalie DenHartog,Minnesota,,0.321,0.454,0.74,1.194,44,131,29,42,8,1,15,42,5,27,0,0,0,33,32
Billie Andrews,Nebraska,,0.317,0.367,0.521,0.888,44,142,32,45,4,2,7,31,2,11,30,10,4,39,13
Brylee Klosterman,Iowa,,0.316,0.396,0.436,0.832,44,117,20,37,0,4,2,19,1,15,0,0,0,33,16
Grayson Radcliffe,Indiana,,0.315,0.411,0.532,0.943,44,124,21,39,6,3,5,25,6,17,20,16,0,30,23
Delaney Rummell,Illinois,,0.314,0.336,0.496,0.832,44,137,14,43,13,0,4,33,1,5,0,0,0,30,6
Jaelyn Vickery,Illinois,,0.306,0.404,0.446,0.85,44,121,27,37,7,2,2,16,10,10,0,0,0,28,20
Morgan Newport,Northwestern,,0.304,0.381,0.601,0.982,47,148,24,45,8,3,10,39,5,14,34,0,0,34,19
Nikki Cuchran,Northwestern,,0.299,0.371,0.358,0.729,47,134,11,40,5,0,1,17,8,8,16,0,0,35,16
Cam Ybarra,Nebraska,,0.298,0.336,0.461,0.797,44,141,12,42,11,0,4,27,0,9,9,3,2,31,9
Hannah Carson,Michigan,,0.296,0.324,0.423,0.747,45,142,16,42,10,1,2,19,2,4,9,2,0,31,6
Nia Carter,Iowa,,0.296,0.338,0.338,0.676,44,142,16,42,2,2,0,17,1,8,0,0,0,38,9
Julia Jimenez,Michigan,,0.293,0.315,0.436,0.751,46,140,13,41,6,1,4,20,1,4,11,2,0,34,5
Peyton Bannon,Wisconsin,,0.291,0.376,0.536,0.912,38,110,27,32,12,3,3,11,4,11,0,0,0,17,15
Riley Sheehy,Iowa,,0.288,0.382,0.344,0.726,44,125,18,36,3,2,0,11,5,14,0,0,0,31,19
Megan Donahue,Wisconsin,,0.287,0.352,0.496,0.848,40,115,13,33,4,1,6,25,3,9,0,0,0,28,12
Bella Loya,Illinois,,0.284,0.344,0.447,0.791,44,141,15,40,9,1,4,24,7,7,0,0,0,30,14
Payton Lincavage,Rutgers,,0.283,0.37,0.409,0.779,44,127,22,36,5,1,3,17,6,12,15,4,5,30,18
Katelyn Kemmetmueller,Minnesota,,0.281,0.393,0.496,0.889,40,121,25,34,3,1,7,18,4,19,0,0,0,30,23
Gabrielle Callaway,Rutgers,,0.278,0.34,0.444,0.784,44,133,19,37,7,0,5,17,4,9,17,0,0,30,13
Niki Carver,Ohio State,,0.277,0.376,0.464,0.84,39,112,20,31,2,2,5,27,12,7,0,0,0,27,19
Caitie Ladd,Michigan State,,0.275,0.296,0.389,0.685,40,131,16,36,8,2,1,6,0,4,15,3,1,26,4
Kaitlyn Brannstrom,Purdue,,0.275,0.346,0.467,0.813,44,120,10,33,8,0,5,30,0,13,21,0,0,25,13
Tegan Cortelletti,Ohio State,,0.273,0.301,0.281,0.582,43,128,21,35,1,0,0,7,1,5,0,0,0,34,6
Kiley Goff,Purdue,,0.27,0.382,0.369,0.751,44,122,20,33,5,2,1,7,5,17,28,4,1,26,22
Maeve Nelson,Northwestern,,0.268,0.342,0.493,0.835,47,142,21,38,11,3,5,28,2,15,35,2,0,24,17
Jenae Wash,Michigan State,,0.267,0.346,0.474,0.82,40,116,13,31,5,5,3,17,4,10,28,0,1,21,14
Lauren Foster,Wisconsin,,0.267,0.383,0.448,0.831,40,105,14,28,9,2,2,14,1,20,0,0,0,17,21
Taylor Pack,Ohio State,,0.263,0.346,0.325,0.671,42,114,9,30,7,0,0,11,6,9,0,0,0,23,15
Sara Kinch,Minnesota,,0.252,0.35,0.504,0.854,44,119,17,30,3,0,9,17,5,13,0,0,0,27,18
Ally Miklesh,Wisconsin,,0.25,0.322,0.298,0.62,39,104,16,26,0,1,1,2,2,9,0,0,0,25,11
Meggie Otte,Ohio State,,0.248,0.287,0.383,0.67,43,141,19,35,5,1,4,28,1,7,0,0,0,29,8
Ashley Prange,Ohio State,,0.246,0.305,0.413,0.718,43,138,25,34,11,0,4,20,1,11,0,0,0,23,12
Emily Hansen,Minnesota,,0.246,0.343,0.398,0.741,42,118,6,29,10,1,2,25,2,16,0,0,0,18,18
Angela Zedak,Northwestern,,0.239,0.31,0.406,0.716,47,138,25,33,9,1,4,22,4,11,21,5,0,23,15
Natalia Rodriguez,Michigan,,0.227,0.338,0.336,0.674,46,119,29,27,7,3,0,9,2,18,22,8,3,17,20
Skylar Sirdashney,Wisconsin,,0.222,0.282,0.343,0.625,40,108,8,24,2,1,3,17,1,8,0,0,0,21,9
Morgan Kummer,Wisconsin,,0.213,0.292,0.361,0.653,40,108,17,23,5,1,3,10,0,12,0,0,0,17,12
Christaana Angelopulos,Wisconsin,,0.204,0.25,0.363,0.613,40,113,8,23,3,0,5,19,3,4,0,0,0,20,7
Sydney Strelow,Minnesota,,0.202,0.343,0.33,0.673,41,109,15,22,3,1,3,17,9,15,0,0,0,18,24
Grace Banes,Iowa,,0.197,0.324,0.311,0.635,44,122,20,24,5,0,3,12,8,15,0,0,0,19,23
